"tweet_text","tweet_sentiment"
"RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate","neutral"
"RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfFÛ_","positive"
"RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.","neutral"
"RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on Û_","positive"
"RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.coÛ_","positive"
"RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://Û_","negative"
"Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate","neutral"
"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate","negative"
"RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD","negative"
"@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate","negative"
"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","positive"
"Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ","negative"
"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""","neutral"
"RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate","positive"
"Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate","negative"
"RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.Û_","negative"
"RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx","negative"
"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate","negative"
"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","positive"
"RT @mchamric: RT ÛÏ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWrÛ","negative"
