"X","tweet_text","directed_at","tweet_sentiment"
1,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.","iPhone","negative"
3,"@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.","iPad","positive"
5,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)","Google","positive"
6,"@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd",NA,"neutral"
7,NA,NA,NA
8,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan","Android","positive"
9,"Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB","iPad or iPhone App","positive"
10,"Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear","Apple","positive"
11,"Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail","Android","positive"
12,"Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.","Android App","positive"
16,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw","iPad or iPhone App","positive"
18,"I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone","iPhone","negative"
19,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.","iPad or iPhone App","positive"
20,"Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV","iPad or iPhone App","positive"
21,"Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?","iPad","positive"
22,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!","iPad or iPhone App","positive"
23,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw","Android App","positive"
24,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7","iPad or iPhone App","positive"
25,"Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW","Android App","positive"
26,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC","iPad","positive"
27,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)","iPad or iPhone App","positive"
28,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea","Other Google product or service","positive"
31,"Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now)","iPad or iPhone App","positive"
33,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",NA,"neutral"
35,"Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?",NA,"neutral"
36,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",NA,"neutral"
37,"The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365","iPad","positive"
39,"@mention  - False Alarm: Google Circles Not Coming Now–and Probably Not Ever? - {link} #Google #Circles #Social #SXSW","Google","negative"
41,"@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2","Apple","positive"
42,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you’re getting friend... {link}",NA,"neutral"
43,"Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we’ll make you one!",NA,"neutral"
44,"Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link}",NA,"neutral"
46,"#IPad2 's ‘#SmartCover’ Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW","iPad or iPhone App","positive"
47,"Hand-Held ‘Hobo’: Drafthouse launches ‘Hobo With a Shotgun’ iPhone app #SXSW {link}",NA,"positive"
48,"HOORAY RT “@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link}","Apple","positive"
50,"wooooo!!! “@mention Apple store downtown Austin open til Midnight. #sxsw”","Apple","positive"
51,"Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw",NA,"neutral"
52,"“@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",NA,"neutral"
53,"☺ WHAT? ☼ {link} Ω #edchat #musedchat #sxsw #sxswi #classical #newTwitter",NA,"neutral"
54,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",NA,"neutral"
55,"“@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw” @mention",NA,"neutral"
56,"“@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw”","Google","positive"
58,"{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!","iPad","positive"
59,"{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link}",NA,"neutral"
60,"@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link}",NA,"neutral"
61,"&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;",NA,"neutral"
63,"#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2","Apple","positive"
64,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw","Apple","neutral"
65,"Again? RT @mention Line at the Apple store is insane.. #sxsw",NA,"negative"
69,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",NA,"negative"
71,"Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw",NA,"neutral"
72,"Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.",NA,"neutral"
73,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!","Google","positive"
74,"Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link}",NA,"neutral"
75,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",NA,"neutral"
77,"I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail","iPhone","positive"
78,"I worship @mention {link} #SXSW",NA,"neutral"
79,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",NA,"neutral"
80,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",NA,"neutral"
82,"Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw","iPad or iPhone App","positive"
